Variable,N,Mean,Std. Dev.,Min,Pctl. 25,Pctl. 75,Max
TFIDF_goe,4000,0.001,0.005,0,0,0,0.094
TFIDF_simpli,4000,0.001,0.008,0,0,0,0.256
TFIDF_that,4000,0.001,0.007,0,0,0,0.145
TFIDF_guess,4000,0.001,0.007,0,0,0,0.288
TFIDF_post,4000,0.002,0.014,0,0,0,0.254
TFIDF_detail,4000,0.001,0.009,0,0,0,0.199
TFIDF_rule,4000,0.001,0.009,0,0,0,0.219
TFIDF_own,4000,0.001,0.007,0,0,0,0.138
TFIDF_pretti,4000,0.001,0.007,0,0,0,0.108
TFIDF_job,4000,0.001,0.011,0,0,0,0.258
TFIDF_develop,4000,0.003,0.013,0,0,0,0.237
TFIDF_vari,4000,0,0.005,0,0,0,0.143
TFIDF_product,4000,0.003,0.014,0,0,0,0.188
TFIDF_level,4000,0.002,0.011,0,0,0,0.208
TFIDF_layout,4000,0.002,0.013,0,0,0,0.234
TFIDF_basic,4000,0.002,0.009,0,0,0,0.173
TFIDF_gui,4000,0.002,0.013,0,0,0,0.329
TFIDF_easi,4000,0.001,0.008,0,0,0,0.283
TFIDF_talk,4000,0.001,0.009,0,0,0,0.166
TFIDF_tab,4000,0.003,0.02,0,0,0,0.426
TFIDF_isnt,4000,0.001,0.007,0,0,0,0.129
TFIDF_exactli,4000,0.001,0.008,0,0,0,0.296
TFIDF_hidden,4000,0.001,0.006,0,0,0,0.117
TFIDF_advanc,4000,0,0.006,0,0,0,0.229
TFIDF_anywai,4000,0,0.005,0,0,0,0.137
TFIDF_touch,4000,0.001,0.011,0,0,0,0.227
TFIDF_configur,4000,0.001,0.009,0,0,0,0.318
TFIDF_drag,4000,0.001,0.009,0,0,0,0.205
TFIDF_empti,4000,0.001,0.009,0,0,0,0.285
TFIDF_column,4000,0.003,0.018,0,0,0,0.533
TFIDF_line,4000,0.002,0.01,0,0,0,0.273
TFIDF_duplic,4000,0.002,0.014,0,0,0,0.268
TFIDF_box,4000,0.003,0.013,0,0,0,0.191
TFIDF_horizont,4000,0.001,0.012,0,0,0,0.23
TFIDF_coupl,4000,0.001,0.005,0,0,0,0.136
TFIDF_dai,4000,0.002,0.011,0,0,0,0.212
TFIDF_modal,4000,0.001,0.01,0,0,0,0.262
TFIDF_obvious,4000,0.001,0.005,0,0,0,0.125
TFIDF_rememb,4000,0.001,0.007,0,0,0,0.184
TFIDF_plai,4000,0.001,0.009,0,0,0,0.203
TFIDF_singl,4000,0.002,0.009,0,0,0,0.204
TFIDF_toggl,4000,0.001,0.009,0,0,0,0.26
TFIDF_press,4000,0.001,0.007,0,0,0,0.154
TFIDF_video,4000,0.002,0.016,0,0,0,0.323
TFIDF_argument,4000,0.001,0.009,0,0,0,0.471
TFIDF_oper,4000,0.001,0.009,0,0,0,0.217
TFIDF_iphon,4000,0.002,0.016,0,0,0,0.375
TFIDF_close,4000,0.002,0.011,0,0,0,0.245
TFIDF_scenario,4000,0.001,0.007,0,0,0,0.156
TFIDF_advantag,4000,0.001,0.006,0,0,0,0.211
TFIDF_social,4000,0.001,0.013,0,0,0,0.364
TFIDF_ideal,4000,0.001,0.007,0,0,0,0.172
TFIDF_pro,4000,0.001,0.006,0,0,0,0.112
TFIDF_combin,4000,0.001,0.006,0,0,0,0.151
TFIDF_widget,4000,0.001,0.015,0,0,0,0.395
TFIDF_avail,4000,0.002,0.009,0,0,0,0.196
TFIDF_benefit,4000,0.001,0.007,0,0,0,0.175
TFIDF_minim,4000,0.001,0.007,0,0,0,0.167
TFIDF_activ,4000,0.001,0.012,0,0,0,0.298
TFIDF_short,4000,0.001,0.007,0,0,0,0.184
TFIDF_prevent,4000,0.001,0.006,0,0,0,0.165
TFIDF_enter,4000,0.002,0.012,0,0,0,0.249
TFIDF_structur,4000,0.001,0.01,0,0,0,0.279
TFIDF_phone,4000,0.002,0.013,0,0,0,0.235
TFIDF_event,4000,0.001,0.011,0,0,0,0.346
TFIDF_reach,4000,0,0.005,0,0,0,0.124
TFIDF_draw,4000,0.001,0.009,0,0,0,0.276
TFIDF_involv,4000,0.001,0.005,0,0,0,0.154
TFIDF_amount,4000,0.001,0.008,0,0,0,0.15
TFIDF_troubl,4000,0,0.005,0,0,0,0.156
TFIDF_maintain,4000,0,0.004,0,0,0,0.111
TFIDF_choos,4000,0.002,0.008,0,0,0,0.116
TFIDF_tooltip,4000,0.001,0.01,0,0,0,0.356
TFIDF_label,4000,0.002,0.015,0,0,0,0.355
TFIDF_commun,4000,0.001,0.008,0,0,0,0.195
TFIDF_info,4000,0.001,0.007,0,0,0,0.226
TFIDF_lead,4000,0.001,0.008,0,0,0,0.231
TFIDF_background,4000,0.001,0.01,0,0,0,0.265
TFIDF_android,4000,0.002,0.014,0,0,0,0.248
TFIDF_pop,4000,0.001,0.008,0,0,0,0.238
TFIDF_sort,4000,0.002,0.012,0,0,0,0.203
TFIDF_typic,4000,0.001,0.006,0,0,0,0.138
TFIDF_awar,4000,0.001,0.007,0,0,0,0.207
TFIDF_bring,4000,0,0.005,0,0,0,0.153
TFIDF_replac,4000,0.001,0.007,0,0,0,0.253
TFIDF_consider,4000,0,0.005,0,0,0,0.165
TFIDF_arent,4000,0.001,0.005,0,0,0,0.124
TFIDF_mention,4000,0.001,0.007,0,0,0,0.157
TFIDF_manual,4000,0,0.004,0,0,0,0.094
TFIDF_mode,4000,0.001,0.009,0,0,0,0.218
TFIDF_particular,4000,0.001,0.008,0,0,0,0.188
TFIDF_push,4000,0,0.005,0,0,0,0.122
TFIDF_final,4000,0.001,0.006,0,0,0,0.126
TFIDF_imagin,4000,0.001,0.005,0,0,0,0.089
TFIDF_plan,4000,0.001,0.008,0,0,0,0.268
TFIDF_rate,4000,0.001,0.014,0,0,0,0.464
TFIDF_introduc,4000,0,0.005,0,0,0,0.12
TFIDF_advic,4000,0.001,0.007,0,0,0,0.142
TFIDF_measur,4000,0.001,0.008,0,0,0,0.228
TFIDF_affect,4000,0.001,0.008,0,0,0,0.307
TFIDF_report,4000,0.001,0.012,0,0,0,0.287
TFIDF_regist,4000,0.001,0.01,0,0,0,0.216
TFIDF_document,4000,0.002,0.016,0,0,0,0.382
TFIDF_save,4000,0.002,0.014,0,0,0,0.328
TFIDF_step,4000,0.002,0.016,0,0,0,0.441
TFIDF_improv,4000,0.001,0.01,0,0,0,0.285
TFIDF_understand,4000,0.001,0.008,0,0,0,0.12
TFIDF_leav,4000,0.001,0.006,0,0,0,0.084
TFIDF_shown,4000,0.001,0.008,0,0,0,0.168
TFIDF_discuss,4000,0.001,0.009,0,0,0,0.255
TFIDF_familiar,4000,0.001,0.005,0,0,0,0.11
TFIDF_figur,4000,0.001,0.007,0,0,0,0.172
TFIDF_quick,4000,0.001,0.006,0,0,0,0.16
TFIDF_titl,4000,0.002,0.018,0,0,0,0.758
TFIDF_convent,4000,0.001,0.011,0,0,0,0.455
TFIDF_confus,4000,0.002,0.007,0,0,0,0.094
TFIDF_direct,4000,0.001,0.008,0,0,0,0.204
TFIDF_begin,4000,0,0.005,0,0,0,0.131
TFIDF_ye,4000,0.001,0.006,0,0,0,0.137
TFIDF_write,4000,0.001,0.009,0,0,0,0.226
TFIDF_take,4000,0.001,0.007,0,0,0,0.144
TFIDF_profil,4000,0.001,0.01,0,0,0,0.195
TFIDF_pai,4000,0,0.005,0,0,0,0.148
TFIDF_payment,4000,0,0.008,0,0,0,0.227
TFIDF_attach,4000,0,0.006,0,0,0,0.177
TFIDF_split,4000,0.001,0.006,0,0,0,0.129
TFIDF_url,4000,0.001,0.013,0,0,0,0.319
TFIDF_login,4000,0.001,0.012,0,0,0,0.226
TFIDF_similar,4000,0.002,0.008,0,0,0,0.109
TFIDF_complex,4000,0.001,0.007,0,0,0,0.189
TFIDF_aspect,4000,0,0.005,0,0,0,0.123
TFIDF_offer,4000,0.001,0.008,0,0,0,0.156
TFIDF_descript,4000,0.001,0.007,0,0,0,0.155
TFIDF_popup,4000,0.001,0.01,0,0,0,0.223
TFIDF_clutter,4000,0.001,0.007,0,0,0,0.234
TFIDF_optim,4000,0.001,0.006,0,0,0,0.151
TFIDF_obviou,4000,0.001,0.008,0,0,0,0.145
TFIDF_engin,4000,0.001,0.007,0,0,0,0.174
TFIDF_feedback,4000,0.002,0.011,0,0,0,0.234
TFIDF_send,4000,0.001,0.007,0,0,0,0.128
TFIDF_contact,4000,0.001,0.008,0,0,0,0.212
TFIDF_except,4000,0.001,0.006,0,0,0,0.191
TFIDF_learn,4000,0.001,0.01,0,0,0,0.377
TFIDF_world,4000,0.001,0.007,0,0,0,0.139
TFIDF_special,4000,0,0.007,0,0,0,0.275
TFIDF_somehow,4000,0,0.004,0,0,0,0.099
TFIDF_relat,4000,0.001,0.007,0,0,0,0.171
TFIDF_symbol,4000,0.001,0.013,0,0,0,0.36
TFIDF_clickabl,4000,0.001,0.009,0,0,0,0.32
TFIDF_cours,4000,0.001,0.007,0,0,0,0.143
TFIDF_keep,4000,0,0.006,0,0,0,0.283
TFIDF_mind,4000,0.001,0.01,0,0,0,0.259
TFIDF_queri,4000,0.001,0.007,0,0,0,0.166
TFIDF_simpl,4000,0.002,0.009,0,0,0,0.184
TFIDF_continu,4000,0.001,0.006,0,0,0,0.138
TFIDF_prompt,4000,0,0.005,0,0,0,0.117
TFIDF_tool,4000,0.002,0.016,0,0,0,0.368
TFIDF_checkbox,4000,0.002,0.013,0,0,0,0.257
TFIDF_possibl,4000,0.001,0.005,0,0,0,0.111
TFIDF_extra,4000,0.001,0.006,0,0,0,0.135
TFIDF_head,4000,0.001,0.008,0,0,0,0.236
TFIDF_directli,4000,0.001,0.005,0,0,0,0.091
TFIDF_dialog,4000,0.002,0.013,0,0,0,0.295
TFIDF_corner,4000,0.001,0.008,0,0,0,0.215
TFIDF_bottom,4000,0.001,0.009,0,0,0,0.177
TFIDF_outsid,4000,0,0.004,0,0,0,0.074
TFIDF_kei,4000,0.001,0.01,0,0,0,0.182
TFIDF_valu,4000,0.002,0.013,0,0,0,0.332
TFIDF_recent,4000,0.001,0.006,0,0,0,0.107
TFIDF_ey,4000,0.001,0.008,0,0,0,0.204
TFIDF_mockup,4000,0.001,0.01,0,0,0,0.36
TFIDF_highlight,4000,0.001,0.01,0,0,0,0.378
TFIDF_dashboard,4000,0.001,0.011,0,0,0,0.304
TFIDF_finish,4000,0,0.006,0,0,0,0.28
TFIDF_logo,4000,0.001,0.011,0,0,0,0.244
TFIDF_behavior,4000,0.001,0.007,0,0,0,0.109
TFIDF_platform,4000,0.001,0.008,0,0,0,0.204
TFIDF_twitter,4000,0.001,0.009,0,0,0,0.28
TFIDF_facebook,4000,0.002,0.019,0,0,0,0.824
TFIDF_curiou,4000,0.001,0.008,0,0,0,0.205
TFIDF_locat,4000,0.002,0.012,0,0,0,0.3
TFIDF_live,4000,0.001,0.007,0,0,0,0.202
TFIDF_devic,4000,0.002,0.011,0,0,0,0.253
TFIDF_submit,4000,0.001,0.01,0,0,0,0.275
TFIDF_worri,4000,0,0.005,0,0,0,0.101
TFIDF_rest,4000,0.001,0.005,0,0,0,0.139
TFIDF_individu,4000,0.001,0.006,0,0,0,0.117
TFIDF_see,4000,0.001,0.006,0,0,0,0.111
TFIDF_expand,4000,0.001,0.007,0,0,0,0.246
TFIDF_respons,4000,0.001,0.008,0,0,0,0.207
TFIDF_thank,4000,0.001,0.007,0,0,0,0.373
TFIDF_upload,4000,0.001,0.012,0,0,0,0.375
TFIDF_built,4000,0.001,0.005,0,0,0,0.1
TFIDF_break,4000,0.001,0.006,0,0,0,0.116
TFIDF_sourc,4000,0.002,0.009,0,0,0,0.204
TFIDF_model,4000,0.001,0.01,0,0,0,0.333
TFIDF_io,4000,0.001,0.015,0,0,0,0.794
TFIDF_graphic,4000,0.001,0.011,0,0,0,0.368
TFIDF_specifi,4000,0.001,0.006,0,0,0,0.175
TFIDF_repres,4000,0.002,0.01,0,0,0,0.229
TFIDF_intend,4000,0,0.004,0,0,0,0.093
TFIDF_past,4000,0.001,0.007,0,0,0,0.17
TFIDF_remov,4000,0.001,0.008,0,0,0,0.152
TFIDF_opinion,4000,0.001,0.008,0,0,0,0.123
TFIDF_appl,4000,0.001,0.011,0,0,0,0.305
TFIDF_front,4000,0.001,0.008,0,0,0,0.309
TFIDF_game,4000,0.001,0.014,0,0,0,0.329
TFIDF_hear,4000,0.001,0.007,0,0,0,0.203
TFIDF_here,4000,0.001,0.006,0,0,0,0.118
TFIDF_get,4000,0.001,0.006,0,0,0,0.163
TFIDF_wait,4000,0.001,0.008,0,0,0,0.204
TFIDF_team,4000,0.001,0.011,0,0,0,0.429
TFIDF_organ,4000,0.001,0.008,0,0,0,0.177
TFIDF_ignor,4000,0,0.004,0,0,0,0.095
TFIDF_success,4000,0.001,0.008,0,0,0,0.233
TFIDF_notif,4000,0.001,0.013,0,0,0,0.353
TFIDF_difficult,4000,0.001,0.006,0,0,0,0.115
TFIDF_besid,4000,0,0.006,0,0,0,0.142
TFIDF_photo,4000,0.001,0.01,0,0,0,0.3
TFIDF_anim,4000,0.001,0.012,0,0,0,0.327
TFIDF_workflow,4000,0,0.004,0,0,0,0.091
TFIDF_admin,4000,0,0.007,0,0,0,0.241
TFIDF_face,4000,0,0.005,0,0,0,0.195
TFIDF_redesign,4000,0.001,0.008,0,0,0,0.174
TFIDF_download,4000,0.001,0.009,0,0,0,0.179
TFIDF_futur,4000,0.001,0.006,0,0,0,0.265
TFIDF_regular,4000,0,0.006,0,0,0,0.249
TFIDF_convers,4000,0.001,0.007,0,0,0,0.144
TFIDF_brand,4000,0.001,0.007,0,0,0,0.146
TFIDF_colour,4000,0.001,0.01,0,0,0,0.301
TFIDF_overal,4000,0,0.006,0,0,0,0.182
TFIDF_style,4000,0.002,0.011,0,0,0,0.272
TFIDF_frustrat,4000,0,0.004,0,0,0,0.132
TFIDF_address,4000,0.002,0.013,0,0,0,0.217
TFIDF_via,4000,0.001,0.006,0,0,0,0.171
TFIDF_switch,4000,0.001,0.009,0,0,0,0.161
TFIDF_third,4000,0,0.004,0,0,0,0.106
TFIDF_panel,4000,0.001,0.011,0,0,0,0.379
TFIDF_visibl,4000,0.001,0.007,0,0,0,0.292
TFIDF_logic,4000,0.001,0.006,0,0,0,0.222
TFIDF_potenti,4000,0.001,0.006,0,0,0,0.092
TFIDF_themselv,4000,0,0.004,0,0,0,0.132
TFIDF_toward,4000,0,0.005,0,0,0,0.113
TFIDF_relev,4000,0.001,0.007,0,0,0,0.153
TFIDF_week,4000,0.001,0.009,0,0,0,0.234
TFIDF_match,4000,0,0.005,0,0,0,0.113
TFIDF_radio,4000,0.001,0.01,0,0,0,0.221
TFIDF_andor,4000,0,0.005,0,0,0,0.164
TFIDF_focus,4000,0.001,0.006,0,0,0,0.173
TFIDF_behaviour,4000,0,0.005,0,0,0,0.154
TFIDF_balsamiq,4000,0.001,0.009,0,0,0,0.406
TFIDF_describ,4000,0.001,0.005,0,0,0,0.085
TFIDF_arrow,4000,0.001,0.011,0,0,0,0.382
TFIDF_huge,4000,0.001,0.006,0,0,0,0.193
TFIDF_grid,4000,0.001,0.01,0,0,0,0.239
TFIDF_convei,4000,0.001,0.006,0,0,0,0.17
TFIDF_bui,4000,0.001,0.008,0,0,0,0.172
TFIDF_fail,4000,0,0.005,0,0,0,0.139
TFIDF_welcom,4000,0.001,0.006,0,0,0,0.194
TFIDF_couldnt,4000,0.001,0.008,0,0,0,0.33
TFIDF_forc,4000,0.001,0.006,0,0,0,0.145
TFIDF_larger,4000,0,0.004,0,0,0,0.082
TFIDF_nav,4000,0,0.008,0,0,0,0.347
TFIDF_els,4000,0.001,0.008,0,0,0,0.169
TFIDF_rang,4000,0.001,0.008,0,0,0,0.174
TFIDF_sometim,4000,0.001,0.008,0,0,0,0.15
TFIDF_month,4000,0.001,0.011,0,0,0,0.301
TFIDF_identifi,4000,0.001,0.006,0,0,0,0.128
TFIDF_miss,4000,0.001,0.005,0,0,0,0.125
TFIDF_none,4000,0,0.005,0,0,0,0.14
TFIDF_correct,4000,0.001,0.006,0,0,0,0.142
TFIDF_visit,4000,0.001,0.008,0,0,0,0.269
TFIDF_avoid,4000,0.001,0.008,0,0,0,0.194
TFIDF_on,4000,0.001,0.007,0,0,0,0.154
TFIDF_price,4000,0.001,0.012,0,0,0,0.324
TFIDF_digit,4000,0,0.006,0,0,0,0.117
TFIDF_human,4000,0.001,0.008,0,0,0,0.265
TFIDF_attempt,4000,0,0.006,0,0,0,0.241
TFIDF_compon,4000,0.001,0.01,0,0,0,0.43
TFIDF_forward,4000,0.001,0.006,0,0,0,0.222
TFIDF_tradit,4000,0.001,0.006,0,0,0,0.166
TFIDF_scale,4000,0.001,0.007,0,0,0,0.194
TFIDF_center,4000,0.001,0.006,0,0,0,0.119
TFIDF_align,4000,0.001,0.013,0,0,0,0.362
TFIDF_hit,4000,0.001,0.006,0,0,0,0.151
TFIDF_definit,4000,0.001,0.006,0,0,0,0.17
TFIDF_readabl,4000,0.001,0.012,0,0,0,0.278
TFIDF_neg,4000,0.001,0.006,0,0,0,0.162
TFIDF_intern,4000,0.001,0.007,0,0,0,0.175
TFIDF_chart,4000,0.001,0.01,0,0,0,0.266
TFIDF_prototyp,4000,0.001,0.016,0,0,0,0.524
TFIDF_home,4000,0.001,0.008,0,0,0,0.211
TFIDF_local,4000,0.001,0.007,0,0,0,0.163
TFIDF_expert,4000,0.001,0.007,0,0,0,0.221
TFIDF_love,4000,0.001,0.008,0,0,0,0.261
TFIDF_confirm,4000,0.001,0.009,0,0,0,0.206
TFIDF_fine,4000,0,0.005,0,0,0,0.099
TFIDF_sound,4000,0.001,0.008,0,0,0,0.335
TFIDF_return,4000,0.001,0.007,0,0,0,0.161
TFIDF_minut,4000,0,0.006,0,0,0,0.228
TFIDF_hour,4000,0,0.006,0,0,0,0.173
TFIDF_put,4000,0.001,0.008,0,0,0,0.303
TFIDF_parent,4000,0.001,0.008,0,0,0,0.291
TFIDF_explor,4000,0,0.006,0,0,0,0.196
TFIDF_impact,4000,0,0.005,0,0,0,0.172
TFIDF_automat,4000,0.001,0.008,0,0,0,0.255
TFIDF_tablet,4000,0.001,0.012,0,0,0,0.304
TFIDF_tap,4000,0.001,0.008,0,0,0,0.209
TFIDF_server,4000,0.001,0.007,0,0,0,0.197
TFIDF_popular,4000,0.001,0.008,0,0,0,0.19
TFIDF_nativ,4000,0.001,0.007,0,0,0,0.241
TFIDF_occur,4000,0.001,0.009,0,0,0,0.491
TFIDF_receiv,4000,0.001,0.006,0,0,0,0.194
TFIDF_survei,4000,0.001,0.008,0,0,0,0.208
TFIDF_desir,4000,0,0.003,0,0,0,0.077
TFIDF_wirefram,4000,0.002,0.013,0,0,0,0.41
TFIDF_explain,4000,0.001,0.007,0,0,0,0.155
TFIDF_goal,4000,0.001,0.006,0,0,0,0.119
TFIDF_assign,4000,0.001,0.008,0,0,0,0.236
TFIDF_statu,4000,0.001,0.007,0,0,0,0.233
TFIDF_sai,4000,0.001,0.006,0,0,0,0.132
TFIDF_section,4000,0.001,0.01,0,0,0,0.195
TFIDF_factor,4000,0.001,0.01,0,0,0,0.399
TFIDF_challeng,4000,0.001,0.006,0,0,0,0.13
TFIDF_accord,4000,0,0.005,0,0,0,0.145
TFIDF_land,4000,0,0.006,0,0,0,0.224
TFIDF_achiev,4000,0.001,0.006,0,0,0,0.232
TFIDF_propos,4000,0.001,0.009,0,0,0,0.475
TFIDF_give,4000,0,0.006,0,0,0,0.156
TFIDF_slide,4000,0.001,0.009,0,0,0,0.222
TFIDF_care,4000,0.001,0.008,0,0,0,0.278
TFIDF_homepag,4000,0.001,0.01,0,0,0,0.286
TFIDF_review,4000,0.001,0.009,0,0,0,0.242
TFIDF_blue,4000,0.001,0.008,0,0,0,0.254
TFIDF_concept,4000,0.001,0.007,0,0,0,0.155
TFIDF_card,4000,0.001,0.009,0,0,0,0.172
TFIDF_materi,4000,0,0.004,0,0,0,0.107
TFIDF_purchas,4000,0.001,0.007,0,0,0,0.204
TFIDF_comput,4000,0.001,0.009,0,0,0,0.235
TFIDF_shouldnt,4000,0,0.004,0,0,0,0.142
TFIDF_sent,4000,0,0.004,0,0,0,0.117
TFIDF_attent,4000,0.001,0.007,0,0,0,0.195
TFIDF_find,4000,0.001,0.006,0,0,0,0.166
TFIDF_light,4000,0.001,0.006,0,0,0,0.161
TFIDF_insight,4000,0.001,0.007,0,0,0,0.178
TFIDF_natur,4000,0.001,0.006,0,0,0,0.129
TFIDF_cover,4000,0,0.005,0,0,0,0.16
TFIDF_compar,4000,0.001,0.008,0,0,0,0.259
TFIDF_illustr,4000,0.001,0.008,0,0,0,0.271
TFIDF_uniqu,4000,0,0.006,0,0,0,0.27
TFIDF_slider,4000,0.001,0.009,0,0,0,0.199
TFIDF_friendli,4000,0.001,0.007,0,0,0,0.226
TFIDF_modifi,4000,0,0.005,0,0,0,0.198
TFIDF_essenti,4000,0,0.004,0,0,0,0.092
TFIDF_network,4000,0.001,0.007,0,0,0,0.143
TFIDF_block,4000,0,0.007,0,0,0,0.237
TFIDF_bmml,4000,0.001,0.007,0,0,0,0.11
