"Variable","N","Mean","SD","N","Mean","SD"
"TFIDF_handl","452","0.001","0.005","3548","0.001","0.007"
"TFIDF_entri","452","0","0.003","3548","0.001","0.009"
"TFIDF_goe","452","0.001","0.006","3548","0.001","0.005"
"TFIDF_simpli","452","0.001","0.005","3548","0.001","0.008"
"TFIDF_that","452","0.001","0.007","3548","0.001","0.007"
"TFIDF_guess","452","0","0.003","3548","0.001","0.008"
"TFIDF_post","452","0.003","0.02","3548","0.002","0.013"
"TFIDF_detail","452","0.002","0.01","3548","0.001","0.009"
"TFIDF_rule","452","0.001","0.008","3548","0.001","0.009"
"TFIDF_own","452","0.002","0.009","3548","0.001","0.007"
"TFIDF_pretti","452","0.001","0.009","3548","0.001","0.007"
"TFIDF_job","452","0.001","0.008","3548","0.001","0.011"
"TFIDF_develop","452","0.004","0.017","3548","0.003","0.012"
"TFIDF_vari","452","0","0.001","3548","0","0.005"
"TFIDF_product","452","0.002","0.01","3548","0.003","0.015"
"TFIDF_level","452","0.002","0.01","3548","0.002","0.011"
"TFIDF_layout","452","0.003","0.012","3548","0.002","0.013"
"TFIDF_basic","452","0.002","0.01","3548","0.001","0.008"
"TFIDF_gui","452","0.003","0.016","3548","0.002","0.013"
"TFIDF_easi","452","0.001","0.006","3548","0.001","0.008"
"TFIDF_talk","452","0.001","0.011","3548","0.001","0.009"
"TFIDF_tab","452","0.004","0.028","3548","0.003","0.019"
"TFIDF_isnt","452","0.001","0.004","3548","0.001","0.007"
"TFIDF_exactli","452","0.001","0.008","3548","0.001","0.008"
"TFIDF_hidden","452","0.001","0.006","3548","0.001","0.005"
"TFIDF_advanc","452","0","0.004","3548","0.001","0.007"
"TFIDF_anywai","452","0","0.005","3548","0","0.005"
"TFIDF_touch","452","0","0.004","3548","0.001","0.012"
"TFIDF_configur","452","0.001","0.01","3548","0.001","0.009"
"TFIDF_drag","452","0","0.004","3548","0.001","0.009"
"TFIDF_empti","452","0.001","0.006","3548","0.001","0.009"
"TFIDF_column","452","0.003","0.028","3548","0.002","0.016"
"TFIDF_line","452","0.003","0.017","3548","0.001","0.009"
"TFIDF_duplic","452","0.005","0.024","3548","0.002","0.011"
"TFIDF_box","452","0.002","0.01","3548","0.003","0.014"
"TFIDF_horizont","452","0.001","0.011","3548","0.001","0.012"
"TFIDF_coupl","452","0","0.004","3548","0.001","0.005"
"TFIDF_dai","452","0.001","0.01","3548","0.002","0.011"
"TFIDF_modal","452","0.001","0.007","3548","0.001","0.011"
"TFIDF_obvious","452","0.001","0.005","3548","0.001","0.005"
"TFIDF_rememb","452","0.001","0.01","3548","0.001","0.007"
"TFIDF_plai","452","0","0.004","3548","0.001","0.01"
"TFIDF_singl","452","0.002","0.014","3548","0.001","0.008"
"TFIDF_toggl","452","0.001","0.009","3548","0.001","0.009"
"TFIDF_press","452","0","0.003","3548","0.001","0.007"
"TFIDF_video","452","0.002","0.019","3548","0.002","0.015"
"TFIDF_argument","452","0.001","0.006","3548","0.001","0.01"
"TFIDF_oper","452","0","0.005","3548","0.001","0.009"
"TFIDF_iphon","452","0.004","0.025","3548","0.002","0.015"
"TFIDF_close","452","0.003","0.016","3548","0.002","0.011"
"TFIDF_scenario","452","0.002","0.012","3548","0.001","0.007"
"TFIDF_advantag","452","0.001","0.006","3548","0.001","0.006"
"TFIDF_social","452","0.003","0.018","3548","0.001","0.012"
"TFIDF_ideal","452","0.001","0.007","3548","0.001","0.007"
"TFIDF_pro","452","0","0.004","3548","0.001","0.007"
"TFIDF_combin","452","0.001","0.008","3548","0.001","0.006"
"TFIDF_widget","452","0.003","0.023","3548","0.001","0.013"
"TFIDF_avail","452","0.001","0.009","3548","0.002","0.009"
"TFIDF_benefit","452","0","0.004","3548","0.001","0.008"
"TFIDF_minim","452","0.001","0.012","3548","0","0.005"
"TFIDF_activ","452","0.002","0.013","3548","0.001","0.012"
"TFIDF_short","452","0.001","0.009","3548","0.001","0.007"
"TFIDF_prevent","452","0","0.003","3548","0.001","0.007"
"TFIDF_enter","452","0.003","0.015","3548","0.002","0.012"
"TFIDF_structur","452","0.001","0.011","3548","0.001","0.01"
"TFIDF_phone","452","0.002","0.013","3548","0.002","0.013"
"TFIDF_event","452","0.001","0.007","3548","0.001","0.012"
"TFIDF_reach","452","0.001","0.006","3548","0","0.005"
"TFIDF_draw","452","0.001","0.012","3548","0.001","0.009"
"TFIDF_involv","452","0","0.004","3548","0.001","0.006"
"TFIDF_amount","452","0.001","0.011","3548","0.001","0.008"
"TFIDF_troubl","452","0","0.003","3548","0","0.006"
"TFIDF_maintain","452","0","0","3548","0","0.004"
"TFIDF_choos","452","0.001","0.004","3548","0.002","0.009"
"TFIDF_tooltip","452","0.001","0.018","3548","0.001","0.008"
"TFIDF_label","452","0.002","0.013","3548","0.002","0.015"
"TFIDF_commun","452","0.001","0.007","3548","0.001","0.008"
"TFIDF_info","452","0.001","0.012","3548","0.001","0.006"
"TFIDF_lead","452","0.001","0.016","3548","0.001","0.006"
"TFIDF_background","452","0.001","0.007","3548","0.001","0.011"
"TFIDF_android","452","0.002","0.014","3548","0.002","0.014"
"TFIDF_pop","452","0.001","0.009","3548","0.001","0.008"
"TFIDF_sort","452","0.003","0.016","3548","0.002","0.011"
"TFIDF_typic","452","0.001","0.006","3548","0.001","0.006"
"TFIDF_awar","452","0.001","0.007","3548","0.001","0.007"
"TFIDF_bring","452","0","0.003","3548","0.001","0.005"
"TFIDF_replac","452","0.001","0.016","3548","0.001","0.005"
"TFIDF_consider","452","0","0.004","3548","0","0.006"
"TFIDF_arent","452","0","0.004","3548","0.001","0.006"
"TFIDF_mention","452","0.001","0.006","3548","0.001","0.007"
"TFIDF_manual","452","0.001","0.006","3548","0","0.004"
"TFIDF_mode","452","0","0.003","3548","0.001","0.009"
"TFIDF_particular","452","0.001","0.008","3548","0.001","0.007"
"TFIDF_push","452","0","0.001","3548","0","0.005"
"TFIDF_final","452","0.001","0.007","3548","0.001","0.006"
"TFIDF_imagin","452","0","0.003","3548","0.001","0.005"
"TFIDF_plan","452","0.001","0.007","3548","0.001","0.008"
"TFIDF_rate","452","0.001","0.011","3548","0.001","0.015"
"TFIDF_introduc","452","0","0.003","3548","0.001","0.005"
"TFIDF_advic","452","0.001","0.007","3548","0.001","0.007"
"TFIDF_measur","452","0","0.003","3548","0.001","0.008"
"TFIDF_affect","452","0","0.004","3548","0.001","0.009"
"TFIDF_report","452","0.003","0.02","3548","0.001","0.011"
"TFIDF_regist","452","0.001","0.009","3548","0.001","0.01"
"TFIDF_document","452","0.002","0.016","3548","0.002","0.016"
"TFIDF_save","452","0.003","0.02","3548","0.002","0.013"
"TFIDF_step","452","0.003","0.023","3548","0.002","0.015"
"TFIDF_improv","452","0.002","0.014","3548","0.001","0.009"
"TFIDF_understand","452","0.001","0.007","3548","0.002","0.008"
"TFIDF_leav","452","0.001","0.005","3548","0.001","0.006"
"TFIDF_shown","452","0.001","0.007","3548","0.001","0.008"
"TFIDF_discuss","452","0.001","0.004","3548","0.001","0.009"
"TFIDF_familiar","452","0","0.004","3548","0.001","0.005"
"TFIDF_figur","452","0.001","0.005","3548","0.001","0.007"
"TFIDF_quick","452","0","0.005","3548","0.001","0.007"
"TFIDF_titl","452","0.002","0.016","3548","0.002","0.018"
"TFIDF_convent","452","0","0.005","3548","0.001","0.011"
"TFIDF_confus","452","0.002","0.011","3548","0.001","0.007"
"TFIDF_direct","452","0.001","0.007","3548","0.001","0.008"
"TFIDF_begin","452","0","0.006","3548","0","0.005"
"TFIDF_ye","452","0","0.004","3548","0.001","0.007"
"TFIDF_write","452","0.001","0.005","3548","0.001","0.01"
"TFIDF_take","452","0.001","0.008","3548","0.001","0.007"
"TFIDF_profil","452","0.001","0.011","3548","0.001","0.01"
"TFIDF_pai","452","0","0.005","3548","0","0.005"
"TFIDF_payment","452","0","0.004","3548","0","0.008"
"TFIDF_attach","452","0.001","0.006","3548","0","0.006"
"TFIDF_split","452","0.001","0.007","3548","0.001","0.005"
"TFIDF_url","452","0","0.004","3548","0.001","0.014"
"TFIDF_login","452","0","0.006","3548","0.001","0.013"
"TFIDF_similar","452","0.001","0.005","3548","0.002","0.008"
"TFIDF_complex","452","0.001","0.004","3548","0.001","0.008"
"TFIDF_aspect","452","0","0.002","3548","0.001","0.006"
"TFIDF_offer","452","0.001","0.009","3548","0.001","0.007"
"TFIDF_descript","452","0","0.007","3548","0.001","0.007"
"TFIDF_popup","452","0.001","0.012","3548","0.001","0.01"
"TFIDF_clutter","452","0.001","0.006","3548","0.001","0.008"
"TFIDF_optim","452","0","0.006","3548","0.001","0.006"
"TFIDF_obviou","452","0.001","0.005","3548","0.001","0.008"
"TFIDF_engin","452","0","0.005","3548","0.001","0.007"
"TFIDF_feedback","452","0.002","0.013","3548","0.001","0.011"
"TFIDF_send","452","0.001","0.008","3548","0.001","0.007"
"TFIDF_contact","452","0.001","0.006","3548","0.001","0.009"
"TFIDF_except","452","0.001","0.006","3548","0.001","0.006"
"TFIDF_learn","452","0.001","0.01","3548","0.001","0.01"
"TFIDF_world","452","0.001","0.008","3548","0.001","0.007"
"TFIDF_special","452","0.001","0.008","3548","0","0.007"
"TFIDF_somehow","452","0","0.005","3548","0","0.004"
"TFIDF_relat","452","0.002","0.01","3548","0.001","0.007"
"TFIDF_symbol","452","0.001","0.012","3548","0.001","0.013"
"TFIDF_clickabl","452","0","0.003","3548","0.001","0.009"
"TFIDF_cours","452","0.001","0.005","3548","0.001","0.007"
"TFIDF_keep","452","0.001","0.005","3548","0","0.006"
"TFIDF_mind","452","0.002","0.009","3548","0.001","0.01"
"TFIDF_queri","452","0.001","0.01","3548","0.001","0.006"
"TFIDF_simpl","452","0.003","0.013","3548","0.002","0.008"
"TFIDF_continu","452","0.001","0.004","3548","0.001","0.006"
"TFIDF_prompt","452","0.001","0.007","3548","0","0.004"
"TFIDF_tool","452","0.003","0.022","3548","0.002","0.015"
"TFIDF_checkbox","452","0.001","0.007","3548","0.002","0.014"
"TFIDF_possibl","452","0.001","0.005","3548","0.001","0.005"
"TFIDF_extra","452","0.001","0.006","3548","0.001","0.007"
"TFIDF_head","452","0.001","0.006","3548","0.001","0.009"
"TFIDF_directli","452","0","0.001","3548","0.001","0.005"
"TFIDF_dialog","452","0.001","0.009","3548","0.002","0.013"
"TFIDF_corner","452","0.001","0.012","3548","0.001","0.007"
"TFIDF_bottom","452","0.002","0.011","3548","0.001","0.009"
"TFIDF_outsid","452","0","0.004","3548","0","0.004"
"TFIDF_kei","452","0.001","0.008","3548","0.001","0.01"
"TFIDF_valu","452","0.002","0.01","3548","0.002","0.014"
"TFIDF_recent","452","0.001","0.005","3548","0.001","0.006"
"TFIDF_ey","452","0","0.002","3548","0.001","0.009"
"TFIDF_mockup","452","0.002","0.02","3548","0.001","0.008"
"TFIDF_highlight","452","0.001","0.009","3548","0.001","0.01"
"TFIDF_dashboard","452","0","0.004","3548","0.001","0.011"
"TFIDF_finish","452","0","0.004","3548","0","0.006"
"TFIDF_logo","452","0.001","0.012","3548","0.001","0.01"
"TFIDF_behavior","452","0.001","0.006","3548","0.001","0.007"
"TFIDF_platform","452","0.002","0.013","3548","0.001","0.008"
"TFIDF_twitter","452","0.001","0.01","3548","0.001","0.009"
"TFIDF_facebook","452","0.003","0.017","3548","0.002","0.02"
"TFIDF_curiou","452","0.001","0.012","3548","0.001","0.008"
"TFIDF_locat","452","0.001","0.008","3548","0.002","0.012"
"TFIDF_live","452","0.001","0.013","3548","0.001","0.006"
"TFIDF_devic","452","0.003","0.015","3548","0.002","0.01"
"TFIDF_submit","452","0.002","0.014","3548","0.001","0.01"
"TFIDF_worri","452","0.001","0.006","3548","0","0.005"
"TFIDF_rest","452","0.001","0.005","3548","0.001","0.005"
"TFIDF_individu","452","0.001","0.005","3548","0.001","0.006"
"TFIDF_see","452","0.001","0.006","3548","0.001","0.005"
"TFIDF_expand","452","0.001","0.01","3548","0.001","0.007"
"TFIDF_respons","452","0.001","0.013","3548","0.001","0.007"
"TFIDF_thank","452","0.001","0.018","3548","0.001","0.005"
"TFIDF_upload","452","0.001","0.014","3548","0.001","0.012"
"TFIDF_built","452","0","0.003","3548","0.001","0.006"
"TFIDF_break","452","0.001","0.007","3548","0.001","0.006"
"TFIDF_sourc","452","0.001","0.007","3548","0.002","0.009"
"TFIDF_model","452","0.001","0.011","3548","0.001","0.009"
"TFIDF_io","452","0.001","0.011","3548","0.001","0.015"
"TFIDF_graphic","452","0.001","0.01","3548","0.001","0.011"
"TFIDF_specifi","452","0.001","0.008","3548","0","0.006"
"TFIDF_repres","452","0.002","0.013","3548","0.001","0.01"
"TFIDF_intend","452","0","0.003","3548","0","0.004"
"TFIDF_past","452","0.001","0.007","3548","0.001","0.007"
"TFIDF_remov","452","0.001","0.007","3548","0.001","0.008"
"TFIDF_opinion","452","0.001","0.006","3548","0.001","0.008"
"TFIDF_appl","452","0.001","0.012","3548","0.001","0.011"
"TFIDF_front","452","0.001","0.016","3548","0.001","0.007"
"TFIDF_game","452","0.002","0.021","3548","0.001","0.013"
"TFIDF_hear","452","0","0.005","3548","0.001","0.007"
"TFIDF_here","452","0.001","0.007","3548","0.001","0.005"
"TFIDF_get","452","0.001","0.005","3548","0.001","0.006"
"TFIDF_wait","452","0","0.004","3548","0.001","0.008"
"TFIDF_team","452","0.002","0.014","3548","0.001","0.011"
"TFIDF_organ","452","0.001","0.009","3548","0.001","0.007"
"TFIDF_ignor","452","0","0.005","3548","0","0.004"
"TFIDF_success","452","0","0.006","3548","0.001","0.008"
"TFIDF_notif","452","0.002","0.017","3548","0.001","0.012"
"TFIDF_difficult","452","0","0.004","3548","0.001","0.006"
"TFIDF_besid","452","0","0.002","3548","0.001","0.006"
"TFIDF_photo","452","0.001","0.009","3548","0.001","0.01"
"TFIDF_anim","452","0.002","0.016","3548","0.001","0.011"
"TFIDF_workflow","452","0","0.004","3548","0","0.004"
"TFIDF_admin","452","0","0.002","3548","0.001","0.007"
"TFIDF_face","452","0","0.004","3548","0","0.005"
"TFIDF_redesign","452","0.001","0.009","3548","0.001","0.008"
"TFIDF_download","452","0.001","0.006","3548","0.001","0.009"
"TFIDF_futur","452","0","0.006","3548","0.001","0.007"
"TFIDF_regular","452","0","0.001","3548","0.001","0.006"
"TFIDF_convers","452","0.001","0.006","3548","0.001","0.007"
"TFIDF_brand","452","0","0.005","3548","0.001","0.007"
"TFIDF_colour","452","0.001","0.007","3548","0.001","0.01"
"TFIDF_overal","452","0","0.004","3548","0.001","0.006"
"TFIDF_style","452","0.003","0.015","3548","0.002","0.011"
"TFIDF_frustrat","452","0","0.005","3548","0","0.004"
"TFIDF_address","452","0.002","0.014","3548","0.002","0.013"
"TFIDF_via","452","0.001","0.011","3548","0.001","0.005"
"TFIDF_switch","452","0.001","0.007","3548","0.001","0.009"
"TFIDF_third","452","0","0.004","3548","0","0.004"
"TFIDF_panel","452","0.001","0.01","3548","0.001","0.011"
"TFIDF_visibl","452","0","0.004","3548","0.001","0.007"
"TFIDF_logic","452","0","0.004","3548","0.001","0.006"
"TFIDF_potenti","452","0.001","0.005","3548","0.001","0.006"
"TFIDF_themselv","452","0","0.003","3548","0","0.004"
"TFIDF_toward","452","0.001","0.006","3548","0","0.005"
"TFIDF_relev","452","0","0.003","3548","0.001","0.007"
"TFIDF_week","452","0.001","0.011","3548","0.001","0.009"
"TFIDF_match","452","0","0.002","3548","0.001","0.005"
"TFIDF_radio","452","0.001","0.006","3548","0.001","0.01"
"TFIDF_andor","452","0","0.003","3548","0.001","0.006"
"TFIDF_focus","452","0","0.004","3548","0.001","0.006"
"TFIDF_behaviour","452","0.001","0.008","3548","0","0.005"
"TFIDF_balsamiq","452","0.001","0.019","3548","0.001","0.007"
"TFIDF_describ","452","0","0.004","3548","0.001","0.005"
"TFIDF_arrow","452","0.001","0.006","3548","0.001","0.012"
"TFIDF_huge","452","0.001","0.013","3548","0","0.005"
"TFIDF_grid","452","0.003","0.018","3548","0.001","0.008"
"TFIDF_convei","452","0","0.006","3548","0.001","0.006"
"TFIDF_bui","452","0","0.004","3548","0.001","0.008"
"TFIDF_fail","452","0","0.001","3548","0","0.006"
"TFIDF_welcom","452","0","0.003","3548","0.001","0.006"
"TFIDF_couldnt","452","0","0.006","3548","0.001","0.009"
"TFIDF_forc","452","0.001","0.005","3548","0.001","0.006"
"TFIDF_larger","452","0","0.002","3548","0","0.004"
"TFIDF_nav","452","0.001","0.017","3548","0","0.006"
"TFIDF_els","452","0.002","0.01","3548","0.001","0.007"
"TFIDF_rang","452","0.001","0.011","3548","0.001","0.007"
"TFIDF_sometim","452","0.001","0.006","3548","0.001","0.008"
"TFIDF_month","452","0.001","0.011","3548","0.001","0.011"
"TFIDF_identifi","452","0","0.003","3548","0.001","0.006"
"TFIDF_miss","452","0.001","0.006","3548","0.001","0.005"
"TFIDF_none","452","0","0.001","3548","0","0.005"
"TFIDF_correct","452","0.001","0.005","3548","0.001","0.006"
"TFIDF_visit","452","0.001","0.009","3548","0.001","0.008"
"TFIDF_avoid","452","0.001","0.008","3548","0.001","0.008"
"TFIDF_on","452","0.001","0.005","3548","0.001","0.007"
"TFIDF_price","452","0.001","0.009","3548","0.001","0.012"
"TFIDF_digit","452","0","0.005","3548","0","0.006"
"TFIDF_human","452","0","0.009","3548","0.001","0.007"
"TFIDF_attempt","452","0","0.004","3548","0","0.006"
"TFIDF_compon","452","0","0.002","3548","0.001","0.01"
"TFIDF_forward","452","0","0.006","3548","0.001","0.006"
"TFIDF_tradit","452","0","0.004","3548","0.001","0.006"
"TFIDF_scale","452","0.001","0.005","3548","0.001","0.008"
"TFIDF_center","452","0.001","0.007","3548","0.001","0.006"
"TFIDF_align","452","0.001","0.013","3548","0.001","0.013"
"TFIDF_hit","452","0.001","0.006","3548","0.001","0.006"
"TFIDF_definit","452","0.001","0.006","3548","0.001","0.006"
"TFIDF_readabl","452","0.002","0.015","3548","0.001","0.012"
"TFIDF_neg","452","0","0.002","3548","0.001","0.006"
"TFIDF_intern","452","0.001","0.006","3548","0.001","0.007"
"TFIDF_chart","452","0.001","0.008","3548","0.001","0.011"
"TFIDF_prototyp","452","0.002","0.025","3548","0.001","0.015"
"TFIDF_home","452","0.001","0.009","3548","0.001","0.008"
"TFIDF_local","452","0","0.004","3548","0.001","0.007"
"TFIDF_expert","452","0","0.003","3548","0.001","0.007"
"TFIDF_love","452","0.001","0.005","3548","0.001","0.008"
"TFIDF_confirm","452","0.001","0.009","3548","0.001","0.009"
"TFIDF_fine","452","0","0.004","3548","0","0.005"
"TFIDF_sound","452","0","0.003","3548","0.001","0.008"
"TFIDF_return","452","0.001","0.008","3548","0.001","0.006"
"TFIDF_minut","452","0.001","0.011","3548","0","0.004"
"TFIDF_hour","452","0.001","0.008","3548","0","0.006"
"TFIDF_put","452","0","0.005","3548","0.001","0.008"
"TFIDF_parent","452","0.001","0.013","3548","0.001","0.007"
"TFIDF_explor","452","0.001","0.007","3548","0","0.006"
"TFIDF_impact","452","0","0.002","3548","0","0.006"
"TFIDF_automat","452","0.001","0.006","3548","0.001","0.008"
"TFIDF_tablet","452","0.001","0.014","3548","0.001","0.011"
"TFIDF_tap","452","0.001","0.01","3548","0.001","0.007"
"TFIDF_server","452","0.001","0.008","3548","0.001","0.007"
"TFIDF_popular","452","0.001","0.007","3548","0.001","0.008"
"TFIDF_nativ","452","0.001","0.012","3548","0","0.006"
"TFIDF_occur","452","0.001","0.008","3548","0","0.009"
"TFIDF_receiv","452","0.001","0.011","3548","0.001","0.005"
"TFIDF_survei","452","0.001","0.008","3548","0.001","0.008"
"TFIDF_desir","452","0","0.003","3548","0","0.003"
"TFIDF_wirefram","452","0.001","0.01","3548","0.002","0.013"
"TFIDF_explain","452","0.001","0.005","3548","0.001","0.007"
"TFIDF_goal","452","0","0.006","3548","0.001","0.006"
"TFIDF_assign","452","0.001","0.005","3548","0.001","0.008"
"TFIDF_statu","452","0.001","0.008","3548","0.001","0.007"
"TFIDF_sai","452","0.001","0.007","3548","0.001","0.006"
"TFIDF_section","452","0.001","0.009","3548","0.001","0.01"
"TFIDF_factor","452","0","0.006","3548","0.001","0.01"
"TFIDF_challeng","452","0.001","0.006","3548","0.001","0.006"
"TFIDF_accord","452","0.001","0.005","3548","0","0.005"
"TFIDF_land","452","0","0.005","3548","0","0.007"
"TFIDF_achiev","452","0.001","0.012","3548","0.001","0.005"
"TFIDF_propos","452","0","0.002","3548","0.001","0.009"
"TFIDF_give","452","0","0.002","3548","0.001","0.006"
"TFIDF_slide","452","0.001","0.012","3548","0.001","0.009"
"TFIDF_care","452","0.001","0.012","3548","0.001","0.008"
"TFIDF_homepag","452","0","0.003","3548","0.001","0.011"
"TFIDF_review","452","0.001","0.013","3548","0.001","0.009"
"TFIDF_blue","452","0","0.002","3548","0.001","0.009"
"TFIDF_concept","452","0.001","0.005","3548","0.001","0.007"
"TFIDF_card","452","0","0.006","3548","0.001","0.009"
"TFIDF_materi","452","0","0.002","3548","0","0.004"
"TFIDF_purchas","452","0","0.005","3548","0.001","0.007"
"TFIDF_comput","452","0.001","0.007","3548","0.001","0.009"
"TFIDF_shouldnt","452","0","0.002","3548","0","0.004"
"TFIDF_sent","452","0","0.001","3548","0","0.004"
"TFIDF_attent","452","0","0.002","3548","0.001","0.007"
"TFIDF_find","452","0.001","0.007","3548","0.001","0.006"
"TFIDF_light","452","0","0.002","3548","0.001","0.007"
"TFIDF_insight","452","0","0.004","3548","0.001","0.007"
"TFIDF_natur","452","0","0.004","3548","0.001","0.006"
"TFIDF_cover","452","0","0.003","3548","0.001","0.005"
"TFIDF_compar","452","0.001","0.006","3548","0.001","0.008"
"TFIDF_illustr","452","0.001","0.013","3548","0","0.007"
"TFIDF_uniqu","452","0.001","0.013","3548","0","0.005"
"TFIDF_slider","452","0.001","0.007","3548","0.001","0.009"
"TFIDF_friendli","452","0.002","0.011","3548","0.001","0.006"
"TFIDF_modifi","452","0","0.003","3548","0","0.005"
"TFIDF_essenti","452","0","0.003","3548","0","0.004"
"TFIDF_network","452","0.001","0.01","3548","0.001","0.007"
"TFIDF_block","452","0.001","0.012","3548","0","0.006"
"TFIDF_bmml","452","0","0.004","3548","0.001","0.007"
